Date,Close
1/2/2018 16:00:00,36.93
1/3/2018 16:00:00,36.79
1/4/2018 16:00:00,36.86
1/5/2018 16:00:00,37.51
1/8/2018 16:00:00,37.4
1/9/2018 16:00:00,36.95
1/10/2018 16:00:00,36.4
1/11/2018 16:00:00,36.84
1/12/2018 16:00:00,37.5
1/16/2018 16:00:00,37.92
1/17/2018 16:00:00,38.15
1/18/2018 16:00:00,38.17
1/19/2018 16:00:00,38.2
1/22/2018 16:00:00,38.56
1/23/2018 16:00:00,38.69
1/24/2018 16:00:00,38.65
1/25/2018 16:00:00,38.36
1/26/2018 16:00:00,39.04
1/29/2018 16:00:00,38.47
1/30/2018 16:00:00,38.11
1/31/2018 16:00:00,37.51
2/1/2018 16:00:00,37.59
2/2/2018 16:00:00,37.1
2/5/2018 16:00:00,35.49
2/6/2018 16:00:00,35.99
2/7/2018 16:00:00,36.03
2/8/2018 16:00:00,36.17
2/9/2018 16:00:00,36.49
2/12/2018 16:00:00,36.27
2/13/2018 16:00:00,36.46
2/14/2018 16:00:00,36.82
2/15/2018 16:00:00,37.31
2/16/2018 16:00:00,37.7
2/20/2018 16:00:00,37.33
2/21/2018 16:00:00,37.2
2/22/2018 16:00:00,36.57
2/23/2018 16:00:00,36.84
2/26/2018 16:00:00,37
2/27/2018 16:00:00,36.51
2/28/2018 16:00:00,36.31
3/1/2018 16:00:00,35.97
3/2/2018 16:00:00,36.22
3/5/2018 16:00:00,36.78
3/6/2018 16:00:00,36.93
3/7/2018 16:00:00,37.26
3/8/2018 16:00:00,37.52
3/9/2018 16:00:00,37.36
3/12/2018 16:00:00,37.65
3/13/2018 16:00:00,37.13
3/14/2018 16:00:00,37.11
3/15/2018 16:00:00,36.92
3/16/2018 16:00:00,37.28
3/19/2018 16:00:00,36.89
3/20/2018 16:00:00,36.76
3/21/2018 16:00:00,36.76
3/22/2018 16:00:00,36.15
3/23/2018 16:00:00,37.42
3/26/2018 16:00:00,37.43
3/27/2018 16:00:00,38.39
3/28/2018 16:00:00,39.38
3/29/2018 16:00:00,39.07
4/2/2018 16:00:00,38.85
4/3/2018 16:00:00,39.28
