Date,Close
1/2/2018 16:00:00,53.61
1/3/2018 16:00:00,53.53
1/4/2018 16:00:00,54.4
1/5/2018 16:00:00,54.34
1/8/2018 16:00:00,54.03
1/9/2018 16:00:00,54.16
1/10/2018 16:00:00,54.64
1/11/2018 16:00:00,54.92
1/12/2018 16:00:00,55.93
1/16/2018 16:00:00,59.19
1/17/2018 16:00:00,59.15
1/18/2018 16:00:00,58.29
1/19/2018 16:00:00,58.43
1/22/2018 16:00:00,58.4
1/23/2018 16:00:00,58.83
1/24/2018 16:00:00,58.34
1/25/2018 16:00:00,58.45
1/26/2018 16:00:00,59.16
1/29/2018 16:00:00,58.77
1/30/2018 16:00:00,57.83
1/31/2018 16:00:00,56.5
2/1/2018 16:00:00,57.08
2/2/2018 16:00:00,55.84
2/5/2018 16:00:00,53.78
2/6/2018 16:00:00,52.88
2/7/2018 16:00:00,53.28
2/8/2018 16:00:00,52.19
2/9/2018 16:00:00,52.32
2/12/2018 16:00:00,52.85
2/13/2018 16:00:00,52.35
2/14/2018 16:00:00,52.35
2/15/2018 16:00:00,53.39
2/16/2018 16:00:00,53.67
2/20/2018 16:00:00,52.42
2/21/2018 16:00:00,52.01
2/22/2018 16:00:00,52.03
2/23/2018 16:00:00,52.32
2/26/2018 16:00:00,53.45
2/27/2018 16:00:00,52.18
2/28/2018 16:00:00,51.7
3/1/2018 16:00:00,51.2
3/2/2018 16:00:00,51.83
3/5/2018 16:00:00,51.87
3/6/2018 16:00:00,51.78
3/7/2018 16:00:00,51.94
3/8/2018 16:00:00,52.22
3/9/2018 16:00:00,52.58
3/12/2018 16:00:00,52.79
3/13/2018 16:00:00,52.8
3/14/2018 16:00:00,52.25
3/15/2018 16:00:00,52.68
3/16/2018 16:00:00,53.08
3/19/2018 16:00:00,52.09
3/20/2018 16:00:00,52.1
3/21/2018 16:00:00,52.15
3/22/2018 16:00:00,51.6
3/23/2018 16:00:00,50.93
3/26/2018 16:00:00,51.53
3/27/2018 16:00:00,51.25
3/28/2018 16:00:00,52.53
3/29/2018 16:00:00,51.94
4/2/2018 16:00:00,50.79
4/3/2018 16:00:00,51.58
4/4/2018 16:00:00,52.01
4/5/2018 16:00:00,52
4/6/2018 16:00:00,50.88
4/9/2018 16:00:00,53.55
4/10/2018 16:00:00,53.86
4/11/2018 16:00:00,53.59
4/12/2018 16:00:00,54.1
4/13/2018 16:00:00,54.51
4/16/2018 16:00:00,55.92
4/17/2018 16:00:00,56.52
4/18/2018 16:00:00,56.18
4/19/2018 16:00:00,55.91
4/20/2018 16:00:00,56.1
4/23/2018 16:00:00,57.45
4/24/2018 16:00:00,57.3
4/25/2018 16:00:00,56.86
4/26/2018 16:00:00,56.65
4/27/2018 16:00:00,56.71
4/30/2018 16:00:00,56.13
5/1/2018 16:00:00,55.29
5/2/2018 16:00:00,54.64
5/3/2018 16:00:00,54.86
5/4/2018 16:00:00,55.07
5/7/2018 16:00:00,54.71
5/8/2018 16:00:00,54.12
5/9/2018 16:00:00,55.26
5/10/2018 16:00:00,55.36
5/11/2018 16:00:00,56.92
5/14/2018 16:00:00,56.91
5/15/2018 16:00:00,56.45
5/16/2018 16:00:00,56.97
5/17/2018 16:00:00,56.32
5/18/2018 16:00:00,56.39
5/21/2018 16:00:00,55.85
5/22/2018 16:00:00,55.73
5/23/2018 16:00:00,56.42
5/24/2018 16:00:00,56.38
5/25/2018 16:00:00,56.34
5/29/2018 16:00:00,55.69
5/30/2018 16:00:00,56.94
5/31/2018 16:00:00,56.76
6/1/2018 16:00:00,57.75
6/4/2018 16:00:00,59.14
6/5/2018 16:00:00,58.54
6/6/2018 16:00:00,59.05
6/7/2018 16:00:00,59.11
6/8/2018 16:00:00,59.67
6/11/2018 16:00:00,59.43
6/12/2018 16:00:00,59.54
6/13/2018 16:00:00,59.68
6/14/2018 16:00:00,58.7
6/15/2018 16:00:00,59.15
6/18/2018 16:00:00,58.16
6/19/2018 16:00:00,58.19
6/20/2018 16:00:00,58.43
6/21/2018 16:00:00,58.34
6/22/2018 16:00:00,58.61
6/25/2018 16:00:00,58.24
6/26/2018 16:00:00,57.9
6/27/2018 16:00:00,57.1
6/28/2018 16:00:00,57.5
6/29/2018 16:00:00,57.88
7/2/2018 16:00:00,57.65
7/3/2018 13:00:00,57.89
7/5/2018 16:00:00,58.78
7/6/2018 16:00:00,59.31
7/9/2018 16:00:00,59.14
7/10/2018 16:00:00,59.4
7/11/2018 16:00:00,59.02
7/12/2018 16:00:00,59.75
7/13/2018 16:00:00,59.97
7/16/2018 16:00:00,59.68
7/17/2018 16:00:00,59.62
7/18/2018 16:00:00,60.01
7/19/2018 16:00:00,59.6
7/20/2018 16:00:00,59.61
7/23/2018 16:00:00,59.78
7/24/2018 16:00:00,60.47
7/25/2018 16:00:00,61.49
7/26/2018 16:00:00,61.04
7/27/2018 16:00:00,60.54
7/30/2018 16:00:00,61.8
7/31/2018 16:00:00,62.81
8/1/2018 16:00:00,62.45
8/2/2018 16:00:00,62.19
8/3/2018 16:00:00,62.87
8/6/2018 16:00:00,63.14
8/7/2018 16:00:00,63.49
8/8/2018 16:00:00,63.59
8/9/2018 16:00:00,62.93
8/10/2018 16:00:00,63
8/13/2018 16:00:00,63.62
8/14/2018 16:00:00,63.37
8/15/2018 16:00:00,64.24
8/16/2018 16:00:00,65.65
8/17/2018 16:00:00,65.85
8/20/2018 16:00:00,66.91
8/21/2018 16:00:00,65.96
8/22/2018 16:00:00,65.83
8/23/2018 16:00:00,65.76
